HSIc1,20070810
HSIc1,20071224
HSIc1,20071231
HSIc1,20080206
HSIc1,20081224
HSIc1,20081231
HSIc1,20091224
HSIc1,20091231
HSIc1,20101224
HSIc1,20101231
HSIc1,20110202
HSIc1,20121224
HSIc1,20121231
HSIc1,20131224
HSIc1,20131231
HSIc1,20140130
HSIc1,20141224
HSIc1,20141231
HSIc1,20150218
HSI,20070810
HSI,20071224
HSI,20071231
HSI,20080206
HSI,20081224
HSI,20081231
HSI,20091224
HSI,20091231
HSI,20101224
HSI,20101231
HSI,20110202
HSI,20121224
HSI,20121231
HSI,20131224
HSI,20131231
HSI,20140130
HSI,20141224
HSI,20141231
HSI,20150218
HHIc1,20070810
HHIc1,20071224
HHIc1,20071231
HHIc1,20080206
HHIc1,20081224
HHIc1,20081231
HHIc1,20091224
HHIc1,20091231
HHIc1,20101224
HHIc1,20101231
HHIc1,20110202
HHIc1,20121224
HHIc1,20121231
HHIc1,20131224
HHIc1,20131231
HHIc1,20140130
HHIc1,20141224
HHIc1,20141231
HHIc1,20150218
HHI,20070810
HHI,20071224
HHI,20071231
HHI,20080206
HHI,20081224
HHI,20081231
HHI,20091224
HHI,20091231
HHI,20101224
HHI,20101231
HHI,20110202
HHI,20121224
HHI,20121231
HHI,20131224
HHI,20131231
HHI,20140130
HHI,20141224
HHI,20141231
HHI,20150218
